temperature,catalyst_amount,reaction_time,ethanol_ratio,yield_percentage
64.98,3.39,45.47,1.34,59.91
88.03,0.88,165.38,1.56,65.96
79.28,1.23,105.79,1.35,64.61
73.95,4.54,153.97,1.18,80.66
56.24,3.23,78.01,1.24,68.78
56.24,0.54,164.33,1.92,67.87
52.32,0.96,88.38,1.41,56.25
84.65,3.49,31.63,1.73,59.29
74.04,0.52,165.81,2.01,68.91
78.32,1.22,43.69,2.38,60.49
50.82,2.97,77.9,1.08,58.48
88.8,3.61,172.51,2.6,84.02
83.3,3.43,172.59,2.26,78.9
58.49,1.51,116.02,1.16,61.94
57.27,3.7,124.78,2.75,77.11
57.34,1.57,97.27,2.84,65.19
62.17,1.96,73.98,1.12,61.4
70.99,3.86,79.3,1.55,68.37
67.28,3.42,130.88,2.61,75.26
61.65,4.32,142.86,2.5,79.5
74.47,3.46,148.74,1.37,72.91
55.58,3.06,148.44,1.42,77.68
61.69,0.92,43.68,1.74,54.51
64.65,2.15,104.16,1.97,64.02
68.24,1.69,38.63,2.24,58.79
81.41,1.6,112.43,1.74,62.8
57.99,4.88,96.23,1.93,69.49
70.57,2.27,163.16,2.49,77.3
73.7,4.51,82.64,1.07,67.57
51.86,3.34,47.56,1.5,64.33
74.3,4.08,51.45,2.43,74.18
56.82,2.76,144.23,2.79,81.69
52.6,3.1,122.73,2.02,72.74
87.96,2.72,45.17,2.06,56.57
88.63,1.38,42.62,1.21,56.35
82.34,3.75,135.15,1.89,74.47
62.18,1.76,40.91,2.07,59.42
53.91,0.61,153.28,1.48,65.71
77.37,3.4,135.94,1.54,72.91
67.61,1.3,42.2,1.75,55.73
54.88,4.73,42.73,1.04,63.32
69.81,4.79,178.0,1.64,82.51
51.38,4.62,86.14,1.42,71.16
86.37,2.17,85.6,1.65,59.29
60.35,0.57,151.92,1.24,62.64
76.5,4.68,172.09,2.78,87.83
62.47,2.43,177.9,2.19,78.11
70.8,4.85,143.01,2.36,87.1
71.87,4.84,86.44,2.58,70.86
57.39,4.34,42.53,2.0,70.97
88.78,1.83,146.57,1.17,66.82
81.01,2.23,113.76,2.07,62.45
87.58,4.33,93.63,2.17,70.6
85.79,1.93,165.95,2.49,72.86
73.92,1.26,46.68,1.86,52.85
86.87,3.01,103.89,1.26,61.71
53.54,4.71,31.7,1.57,63.15
57.84,3.63,100.3,1.73,75.74
51.81,3.07,38.45,2.29,66.8
63.01,0.94,47.82,2.14,60.86
65.55,3.27,47.63,1.71,65.36
60.85,4.96,127.38,2.97,82.67
83.15,1.13,141.91,2.21,66.05
64.27,2.83,117.51,1.47,70.52
61.24,4.45,174.33,1.2,77.44
71.71,3.83,86.23,1.31,69.39
55.64,3.64,72.86,1.49,66.23
82.09,3.66,160.29,1.32,73.28
52.98,2.12,63.54,1.37,61.43
89.48,1.82,174.48,1.57,69.93
80.89,4.14,31.82,1.35,59.97
57.95,4.15,175.48,2.79,90.41
50.22,4.4,36.47,1.16,60.4
82.62,4.61,163.67,2.05,83.0
78.27,2.8,109.16,1.82,69.82
79.16,2.76,178.94,2.96,81.34
80.85,4.09,41.07,1.22,62.01
52.96,3.42,113.08,1.8,69.16
64.34,3.66,175.4,2.94,88.76
54.63,4.08,108.46,2.73,78.35
84.52,4.51,124.41,2.63,77.55
74.93,2.02,134.36,1.52,70.28
63.24,2.19,98.18,1.34,62.34
52.54,0.92,124.13,2.34,64.01
62.44,3.1,117.65,2.86,73.35
63.01,0.66,165.17,2.11,72.17
79.18,2.6,36.82,2.14,57.18
75.5,2.94,72.14,1.56,67.94
85.49,1.79,172.56,2.54,69.21
68.89,3.16,163.54,1.37,79.4
54.78,0.64,98.35,1.65,60.66
78.53,0.67,123.02,1.85,62.4
80.43,4.2,71.61,2.02,67.93
72.45,2.12,58.22,1.48,60.06
80.84,1.07,99.55,1.23,57.58
69.75,2.85,83.0,2.22,71.32
70.91,3.96,117.55,1.58,73.56
67.1,1.47,41.66,2.16,59.08
51.02,3.3,176.16,1.31,75.93
54.32,0.88,177.93,1.96,71.95
51.26,0.73,134.72,2.07,67.44
75.46,2.89,110.41,1.1,61.42
62.57,2.93,76.43,1.67,62.4
70.34,3.37,152.07,1.27,75.71
86.3,3.77,132.71,1.13,69.71
59.97,4.89,54.39,2.98,76.09
66.42,2.82,166.64,1.64,75.94
80.22,1.95,153.38,2.62,75.17
59.15,4.08,172.47,1.51,79.16
53.08,1.72,138.86,2.36,70.31
61.59,2.48,122.01,2.52,74.38
56.45,0.85,92.74,2.19,60.56
87.19,0.61,169.91,1.94,67.58
82.32,4.83,159.91,1.82,76.47
75.34,4.26,36.78,1.7,67.22
84.86,3.63,33.96,2.86,67.17
82.15,2.34,86.47,2.66,68.06
57.46,1.28,151.58,2.93,77.74
85.7,1.2,178.09,1.25,70.69
71.57,1.63,52.56,2.46,64.17
82.3,2.97,119.12,2.88,69.99
85.84,3.72,87.13,1.36,61.73
62.72,3.47,175.49,1.13,75.27
54.4,1.76,156.32,2.48,75.24
59.12,4.8,155.75,2.15,85.51
67.08,3.82,100.3,2.68,74.76
82.72,2.99,92.22,1.28,63.83
84.43,3.25,71.01,2.59,65.99
50.28,2.39,38.46,1.4,55.99
70.43,1.61,159.71,1.33,65.39
66.7,2.1,151.94,1.33,67.7
58.88,3.91,179.96,2.63,83.04
54.79,0.56,179.5,2.33,70.59
63.5,1.02,113.31,2.05,67.98
87.72,0.71,145.35,1.72,60.29
62.93,0.68,171.71,2.75,81.31
70.75,4.35,157.45,1.78,81.7
78.12,3.67,67.1,2.63,70.87
64.55,2.63,97.58,1.88,66.07
88.87,0.94,49.37,1.75,53.57
88.5,2.71,173.11,1.93,72.39
60.07,2.63,120.93,1.6,70.04
69.89,1.28,64.3,2.5,68.58
62.04,2.45,130.76,2.01,72.04
61.39,2.29,122.72,1.46,70.94
51.48,3.27,83.72,2.8,71.37
74.38,3.36,47.03,1.77,63.11
70.11,0.7,130.74,2.09,70.5
52.06,2.19,108.05,2.81,70.8
61.15,3.32,145.85,2.25,82.88
86.33,2.76,108.02,1.23,65.11
59.58,4.35,157.83,2.88,85.17
55.8,3.46,112.79,2.26,76.43
69.58,1.23,114.14,1.67,66.33
89.43,0.82,161.5,1.28,63.86
59.68,3.39,90.52,2.59,69.74
76.89,0.62,50.1,2.24,54.14
80.46,3.14,34.32,2.07,60.72
59.51,4.73,143.27,2.79,85.5
79.13,3.09,123.05,2.58,76.19
64.71,2.25,135.61,1.3,68.99
75.29,3.39,61.94,1.62,60.92
75.34,2.56,50.46,1.5,60.28
71.43,2.96,32.18,2.49,65.52
53.61,4.74,82.59,1.07,71.02
83.41,2.24,118.49,2.14,70.71
62.83,4.83,88.84,2.52,80.22
57.46,4.57,95.62,2.75,80.37
51.63,1.38,165.62,1.68,70.6
73.64,0.81,82.24,2.64,58.84
77.1,0.95,107.1,1.22,59.91
50.66,0.58,147.55,2.69,71.29
70.48,0.92,89.48,1.25,58.38
59.06,3.57,123.31,1.79,71.08
75.81,0.82,159.35,2.59,69.01
56.97,1.94,172.43,1.3,74.55
77.64,4.3,52.06,1.46,64.94
65.47,0.6,168.99,2.44,74.17
87.47,4.17,103.82,2.44,73.53
55.5,1.77,68.74,2.28,63.82
63.64,1.03,98.87,2.39,67.69
54.54,3.64,177.0,2.09,80.95
86.99,3.33,103.89,1.5,66.24
85.09,4.45,79.31,1.69,67.24
60.32,3.81,125.01,1.36,72.06
76.4,4.12,66.02,2.82,72.29
82.69,1.77,41.38,2.17,57.97
72.21,1.3,49.33,1.8,55.53
71.19,3.88,49.21,1.92,69.61
59.67,4.13,52.79,2.89,71.03
53.72,4.96,50.82,1.31,67.32
85.89,2.36,126.13,2.17,67.8
86.02,2.17,57.28,2.01,62.78
75.32,3.99,81.85,2.22,72.23
63.56,2.03,164.52,1.04,72.56
63.97,4.69,101.09,2.74,76.47
79.04,4.36,130.13,2.86,82.06
85.88,2.43,55.85,2.13,62.73
85.48,3.88,58.84,2.39,67.56
81.2,3.9,36.13,2.84,70.61
